,s1,s2,a,r,s_1,s_2
1193,-0.7525550127029419,0.006164672784507275,2.0,-0.1,-0.7438050508499146,0.008749970234930515
1194,-0.7438050508499146,0.008749970234930515,2.0,-0.1,-0.732521116733551,0.011283984407782555
1195,-0.732521116733551,0.011283984407782555,2.0,-0.1,-0.7187708020210266,0.013750308193266392
1196,-0.7187708020210266,0.013750308193266392,2.0,-0.1,-0.7026389241218567,0.01613188162446022
1197,-0.7026389241218567,0.01613188162446022,0.0,-0.1,-0.6862278580665588,0.01641104184091091
1198,-0.6862278580665588,0.01641104184091091,2.0,-0.1,-0.6676449179649353,0.018582943826913834
1199,-0.6676449179649353,0.018582943826913834,2.0,-0.1,-0.6470149159431458,0.02062997780740261
1200,-0.6470149159431458,0.02062997780740261,2.0,-0.1,-0.6244803667068481,0.022534595802426338
1201,-0.6244803667068481,0.022534595802426338,2.0,-0.1,-0.6002006530761719,0.02427970990538597
1202,-0.6002006530761719,0.02427970990538597,2.0,-0.1,-0.57435142993927,0.025849180296063423
1203,-0.57435142993927,0.025849180296063423,2.0,-0.1,-0.5471230745315552,0.027228355407714844
1204,-0.5471230745315552,0.027228355407714844,2.0,-0.1,-0.5187184810638428,0.028404641896486282
1205,-0.5187184810638428,0.028404641896486282,2.0,-0.1,-0.48935040831565857,0.029368041083216667
1206,-0.48935040831565857,0.029368041083216667,2.0,-0.1,-0.45923879742622375,0.030111629515886307
1207,-0.45923879742622375,0.030111629515886307,2.0,-0.1,-0.42860686779022217,0.03063192404806614
1208,-0.42860686779022217,0.03063192404806614,2.0,1.2523062076428642e-07,-0.39767777919769287,0.030929088592529297
1209,-0.39767777919769287,0.030929088592529297,2.0,0.0003702330317570586,-0.36667078733444214,0.031006982550024986
1210,-0.36667078733444214,0.031006982550024986,2.0,0.0026463702459346445,-0.3357977569103241,0.030873019248247147
1211,-0.3357977569103241,0.030873019248247147,2.0,0.008503570855257176,-0.30525991320610046,0.030537854880094528
1212,-0.30525991320610046,0.030537854880094528,2.0,0.019416640044486694,-0.27524498105049133,0.030014922842383385
